Team,Record,Ranking,Conference Wins (%),Wins (%),Conference,Scoring Offense Rank,Scoring Offense (PPG),Scoring Defense Rank,Scoring Defense (PPG)
Aurburn,20-1,1,100.00,95.24,SEC,11,84.5,50,66.5
Duke,19-2,2,100.00,90.48,ACC,48,80.3,5,60
Alabama,19-3,3,88.89,0.86,SEC,1,90.2,322,78.3
Tennessee,18-4,4,55.56,81.82,SEC,180,74.5,3,58.6
Houston,17-4,5,90.00,80.95,Big 12,124,76.2,1,56.6
Florida,18-3,6,62.50,85.71,SEC,18,83.3,35,65.3
Purdue,17-5,7,81.82,77.27,Big 10,97,77.7,74,67.9
Iowa State,17-4,8,70.00,80.95,Big 12,19,83,65,67.6
Michigan State,18-3,9,90.00,85.71,Big 10,46,80.4,60,67.3
Texas A&M,17-5,10,66.67,77.27,SEC,155,75.4,44,66.2
Marquette,18-4,11,0.82,81.82,Big East,81,78.7,61,67.4
St. John's,19-3,12,90.91,86.36,Big East,67,79.3,31,65.2
Texas Tech,17-4,13,80.00,80.95,Big 12,34,81.4,36,65.4
Kentucky,15-6,14,100.00,71.43,SEC,3,87.2,297,76.5
Missouri,17-4,15,75.00,80.95,SEC,16,83.4,91,68.6
Kansas,15-6,16,60.00,71.43,Big 12,103,77.2,53,66.7
Memphis,18-4,17,88.89,81.82,Big 12,78,78.8,224,72.9
Maryland,17-5,18,63.64,77.27,Big 10,20,83,37,65.5
UConn,16-6,19,72.73,72.73,Big East,57,79.9,92,68.6
Arizona,15-6,20,90.00,71.43,Big 12,23,82.8,112,69.3
Wisconsin,17-5,21,63.64,77.27,Big 10,32,81.5,145,70.5
Missisipi State,16-6,22,44.44,72.73,SEC,55,79.9,170,71.2
Illinois,15-7,23,58.33,68.18,Big 10,7,85.3,141,70.4
Michigan,16-5,24,80.00,76.19,Big 10,25,82.3,137,70.3
Ole Miss,16-6,25,55.56,72.73,SEC,95,77.7,64,67.5
