Team,Record,Ranking,Wins (%),Conference,Scoring Offense Rank,Scoring Offense (PPG),Scoring Defense Rank,Scoring Defense (PPG)
Auburn,21-2,1,91.30,SEC,8,85.0,67,67.7
Alabama,20-3,2,86.96,SEC,1,90.0,323,78.4
Florida,20-3,3,86.96,SEC,15,83.7,44,66.4
Duke,20-3,3,86.96,ACC,51,80.0,6,60.5
Tennessee,20-4,5,83.33,SEC,166,74.8,3,59.3
Houston,19-4,6,82.61,Big 12,139,75.7,1,57.0
Purdue,19-5,7,79.17,Big 10,75,78.7,87,68.6
Texas A&M,18-5,8,78.26,SEC,157,75.0,42,66.1
St. John's,21-3,9,87.50,Big East,79,78.5,28,65.0
Iowa State,18-5,10,78.26,Big 12,26,81.7,52,67.0
Michigan State,19-4,11,82.61,Big 10,55,79.8,59,67.4
Texas Tech,18-5,12,78.26,Big 12,38,80.7,39,65.9
Arizona,17-6,13,73.91,Big 12,20,82.8,115,69.7
Memphis,20-4,14,83.33,AAC,60,79.4,225,73.2
Kentucky,16-7,15,69.57,SEC,3,86.7,300,76.6
Wisconson,19-5,16,79.17,Big 10,35,81.0,122,69.9
Kansas,16-7,17,69.57,Big 12,111,76.7,48,66.7
Marquette,18-6,18,75.00,Big East,94,77.6,69,67.9
Ole Miss,18-6,19,66.67,SEC,86,78.3,77,68.3
Michigan,18-5,20,78.26,Big 10,25,81.7,142,70.4
Missouri,17-6,21,73.91,SEC,23,82.4,98,69.2
Mississippi State,17-6,22,73.91,SEC,56,79.7,175,71.3
Clemson,19-5,23,79.17,ACC,96,77.3,57,67.3
Creighton,18-6,24,75.00,Big East,144,75.6,76,68.3
Maryland,18-6,25,75.00,Big 10,21,82.8,46,66.5
